model,signal,n,ece,brier,auc
OLMo,entropy_global,200,0.2032278700665043,0.15129501741181553,0.8942
OLMo,entropy_per_model,200,0.16611991643598462,0.12903714426581833,0.8942
OLMo,self_report_raw,200,0.7129500000000001,0.7019894999999999,0.2837
OLMo,self_report_inverted,200,0.26275,0.2630895,0.7162999999999999
OLMo,length_score,200,0.1954999999999999,0.2820500000000001,0.46975
OLMo,max_entropy_global,200,0.251161956463999,0.21173761625537413,0.8849
OLMo,entropy_std_global,200,0.2531029217164344,0.18244269263698043,0.8916999999999999
Llama,entropy_global,200,0.2434035225416998,0.16852076775281927,0.9222
Llama,entropy_per_model,200,0.24336311377235756,0.16879541509967297,0.9222
Llama,self_report_raw,200,0.6635,0.651058,0.3298
Llama,self_report_inverted,200,0.2959,0.300858,0.6702
Llama,length_score,200,0.20549999999999996,0.31765,0.37385
Llama,max_entropy_global,200,0.2968988254132626,0.22540653451733866,0.9498
Llama,entropy_std_global,200,0.2682869741839184,0.18632965162668205,0.9281
Qwen,entropy_global,200,0.3728498436688411,0.31444787150149694,0.8956000000000001
Qwen,entropy_per_model,200,0.22121892418560524,0.16693666625591302,0.8956000000000001
Qwen,self_report_raw,200,0.67825,0.6635675000000001,0.3318
Qwen,self_report_inverted,200,0.29645000000000005,0.2972675,0.6682
Qwen,length_score,200,0.18649999999999994,0.2689500000000001,0.5468500000000001
Qwen,max_entropy_global,200,0.35028016660999634,0.29865291146852957,0.8919
Qwen,entropy_std_global,200,0.33417811227973293,0.27156963227323916,0.9000999999999999
Mistral,entropy_global,200,0.25055734534112795,0.19500810571254018,0.9051999999999999
Mistral,entropy_per_model,200,0.13373542222384582,0.13636550245659795,0.9051999999999999
Mistral,self_report_raw,200,0.63455,0.6211345,0.36185
Mistral,self_report_inverted,200,0.31965,0.3252345,0.6381500000000001
Mistral,length_score,200,0.3139999999999999,0.3389000000000001,0.33120000000000005
Mistral,max_entropy_global,200,0.27631774448786744,0.23809697739945038,0.8905000000000001
Mistral,entropy_std_global,200,0.26238358404884854,0.1992128497845033,0.9035
POOLED,entropy_global,800,0.22276020352265608,0.20731794059466802,0.8703375000000001
POOLED,entropy_per_model,800,0.15347092811053012,0.15028368201950054,0.8918031249999999
POOLED,self_report_raw,800,0.6697875,0.659437375,0.32568437499999997
POOLED,self_report_inverted,800,0.2936625,0.296612375,0.6743156250000001
POOLED,length_score,800,0.19637499999999994,0.3018875000000001,0.432284375
POOLED,max_entropy_global,800,0.2828599873023182,0.2434735099101732,0.8874187499999999
POOLED,entropy_std_global,800,0.2397155672948012,0.20988870658035125,0.87745625
