model,signal,bin_lo,bin_hi,bin_mid,bin_count,avg_predicted,avg_observed,bin_ece_contrib
OLMo,entropy_global,0.0,0.1,0.05,0,,,0.0
OLMo,entropy_global,0.1,0.2,0.15000000000000002,1,0.16694785752872177,0.0,0.0008347392876436088
OLMo,entropy_global,0.2,0.30000000000000004,0.25,6,0.25833740779830167,0.0,0.007750122233949049
OLMo,entropy_global,0.30000000000000004,0.4,0.35000000000000003,32,0.35291707780331816,0.1875,0.026466732448530907
OLMo,entropy_global,0.4,0.5,0.45,37,0.4411150491599677,0.1891891891891892,0.04660628409459402
OLMo,entropy_global,0.5,0.6000000000000001,0.55,35,0.5469501667062929,0.17142857142857143,0.06571627917360126
OLMo,entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,14,0.6597943821648379,0.5,0.011185606751538653
OLMo,entropy_global,0.7000000000000001,0.8,0.75,19,0.7481297068173335,0.9473684210526315,0.018927677852353313
OLMo,entropy_global,0.8,0.9,0.8500000000000001,19,0.8466341353575861,1.0,0.014569757141029318
OLMo,entropy_global,0.9,1.0,0.95,37,0.9396179941445179,1.0,0.011170671083264198
OLMo,entropy_per_model,0.0,0.1,0.05,4,0.06310827898384469,0.0,0.001262165579676894
OLMo,entropy_per_model,0.1,0.2,0.15000000000000002,12,0.175004104621746,0.25,0.004499753722695239
OLMo,entropy_per_model,0.2,0.30000000000000004,0.25,26,0.24847926370253517,0.11538461538461539,0.017302304281329572
OLMo,entropy_per_model,0.30000000000000004,0.4,0.35000000000000003,34,0.33882715629160726,0.20588235294117646,0.022600616569573236
OLMo,entropy_per_model,0.4,0.5,0.45,27,0.44934667381312676,0.18518518518518517,0.03566180096477212
OLMo,entropy_per_model,0.5,0.6000000000000001,0.55,13,0.5268318066122138,0.07692307692307693,0.0292440674297939
OLMo,entropy_per_model,0.6000000000000001,0.7000000000000001,0.6500000000000001,16,0.6520232775656583,0.8125,0.01283813779474734
OLMo,entropy_per_model,0.7000000000000001,0.8,0.75,14,0.7390795173929959,1.0,0.018264433782490288
OLMo,entropy_per_model,0.8,0.9,0.8500000000000001,20,0.8438905559236554,1.0,0.015610944407634464
OLMo,entropy_per_model,0.9,1.0,0.95,34,0.9480253417454613,1.0,0.008835691903271584
OLMo,self_report_raw,0.0,0.1,0.05,96,0.006354166666666667,0.6875,0.32695
OLMo,self_report_raw,0.1,0.2,0.15000000000000002,6,0.13333333333333333,0.8333333333333334,0.021
OLMo,self_report_raw,0.2,0.30000000000000004,0.25,4,0.255,1.0,0.0149
OLMo,self_report_raw,0.30000000000000004,0.4,0.35000000000000003,2,0.31,0.5,0.0019
OLMo,self_report_raw,0.4,0.5,0.45,1,0.46,1.0,0.0027
OLMo,self_report_raw,0.5,0.6000000000000001,0.55,2,0.55,1.0,0.0045
OLMo,self_report_raw,0.6000000000000001,0.7000000000000001,0.6500000000000001,1,0.7,1.0,0.0015000000000000002
OLMo,self_report_raw,0.7000000000000001,0.8,0.75,0,,,0.0
OLMo,self_report_raw,0.8,0.9,0.8500000000000001,0,,,0.0
